n    x(n)   c(n)  xhat(n) 
2860   -5.0       0.0      -1.2 
2861   -6.0       0.0      -9.0 
2862   -8.0       0.0     -15.2 
2863   -6.0       0.0      -4.2 
2864   -7.0       0.0     -11.3 
2865   -3.0       0.0      -1.1 
2866   -5.0       0.0      -8.8 
2867   -2.0       0.0       0.9 
2868   -3.0       0.0      -7.3 
2869    0.0       0.0       2.2 
2870    0.0       0.0      -6.2 
2871   -1.0       0.0       3.0 
2872    0.0       0.0      -5.6 
2873    1.0       0.0       3.5 
2874    2.0       0.0      -5.2 
2875    0.0       0.0       3.9 
2876    2.0       0.0      -4.9 
2877    1.0       0.0       4.1 
2878    1.0       0.0      -4.7 
2879    2.0       0.0       4.2 
2880    1.0       0.0      -4.6 
2881    4.0       0.0       4.3 
2882    2.0       0.0      -4.6 
2883    3.0       0.0       4.3 
2884    3.0       0.0      -4.5 
2885    4.0       0.0       4.4 
2886    4.0       0.0      11.5 
2887    4.0       0.0       1.2 
2888    4.0       0.0       9.0 
2889   -1.0       0.0      -0.8 
2890    1.0       0.0       7.3 
2891    1.0       0.0      -2.1 
2892    0.0       0.0       6.3 
2893    0.0       0.0      -3.0 
2894    1.0       0.0       5.6 
2895    1.0       0.0      -3.5 
2896    1.0       0.0       5.2 
2897    1.0       0.0      -3.8 
2898   -1.0       0.0       4.9 
2899   -1.0       0.0      -4.1 
2900    0.0       0.0       4.8 
2901    0.0       0.0      -4.2 
2902    0.0       0.0       4.6 
2903    2.0       0.0      -4.3 
2904    0.0       0.0       4.6 
2905    1.0       0.0      -4.3 
2906   -1.0       0.0       4.5 
2907    0.0       0.0      -4.4 
2908    1.0       0.0       4.5 
2909    1.0       0.0      -4.4 
2910    1.0       0.0       4.5 
2911    1.0       0.0      -4.4 
2912    1.0       0.0       4.5 
2913    0.0       0.0      -4.4 
2914    1.0       0.0       4.5 
2915    1.0       0.0      -4.4 
2916    0.0       0.0       4.5 
2917   -1.0       0.0      -4.4 
2918    4.0       0.0       4.5 
2919    1.0       0.0      -4.4 
2920    2.0       0.0       4.4 
2921    1.0       0.0      -4.4 
2922    4.0       0.0       4.4 
2923    2.0       0.0      -4.4 
2924    1.0       0.0       4.4 
2925    1.0       0.0      -4.4 
2926    2.0       0.0       4.4 
2927    0.0       0.0      -4.4 
2928    1.0       0.0       4.4 
2929    2.0       0.0      -4.4 
2930    1.0       0.0       4.4 
2931   -1.0       0.0      -4.4 
2932   -2.0       0.0       4.4 
2933    0.0       0.0      -4.4 
2934   -1.0       0.0       4.4 
2935    0.0       0.0      -4.4 
2936    0.0       0.0       4.4 
2937    1.0       0.0      -4.4 
2938    1.0       0.0       4.4 
2939    1.0       0.0      -4.4 
2940    0.0       0.0       4.4 
2941    0.0       0.0      -4.4 
2942    1.0       0.0       4.4 
2943    1.0       0.0      -4.4 
2944    2.0       0.0       4.4 
2945    1.0       0.0      -4.4 
2946    1.0       0.0       4.4 
2947    1.0       0.0      -4.4 
2948    1.0       0.0       4.4 
2949    0.0       0.0      -4.4 
2950    0.0       0.0       4.4 
2951    1.0       0.0      -4.4 
2952   -3.0       0.0       4.4 
2953    0.0       0.0      -4.4 
2954    0.0       0.0       4.4 
2955    2.0       0.0      -4.4 
2956   -1.0       0.0       4.4 
2957    0.0       0.0      -4.4 
2958    0.0       0.0       4.4 
2959    0.0       0.0      -4.4 
2960   -1.0       0.0       4.4 
2961    1.0       0.0      -4.4 
2962    1.0       0.0       4.4 
2963    1.0       0.0      -4.4 
2964    1.0       0.0       4.4 
2965    1.0       0.0      -4.4 
2966    2.0       0.0       4.4 
2967    3.0       0.0      -4.4 
2968    3.0       0.0       4.4 
2969    2.0       0.0      -4.4 
2970    2.0       0.0       4.4 
2971    2.0       0.0      -4.4 
2972    4.0       0.0       4.4 
2973    3.0       0.0      -4.4 
2974    2.0       0.0       4.4 
2975    2.0       0.0      -4.4 
2976    3.0       0.0       4.4 
2977    2.0       0.0      -4.4 
2978    1.0       0.0       4.4 
2979    1.0       0.0      -4.4 
2980    2.0       0.0       4.4 
2981    3.0       0.0      -4.4 
2982    4.0       0.0       4.4 
2983    2.0       0.0      -4.4 
2984    3.0       0.0       4.4 
2985    2.0       0.0      -4.4 
2986    4.0       0.0       4.4 
2987    2.0       0.0      -4.4 
2988    4.0       0.0       4.4 
2989    5.0       0.0      11.6 
2990    3.0       0.0       1.2 
2991    3.0       0.0       9.0 
2992    3.0       0.0      -0.8 
2993    4.0       0.0       7.4 
2994    4.0       0.0      -2.1 
2995    4.0       0.0       6.3 
2996    3.0       0.0      -3.0 
2997    4.0       0.0       5.6 
2998    4.0       0.0      -3.5 
2999    2.0       0.0       5.2 
3000    4.0       0.0      -3.8 
3001    2.0       0.0       4.9 
3002    2.0       0.0      -4.1 
3003    5.0       0.0       4.8 
3004    3.0       0.0      -4.2 
3005    4.0       0.0       4.6 
3006    4.0       0.0      11.7 
3007    3.0       0.0       1.4 
3008    4.0       0.0       9.1 
3009    4.0       0.0      -0.7 
3010    6.0       0.0       7.4 
3011    7.0       0.0      13.9 
3012    6.0       0.0       3.2 
3013    7.0       0.0      10.5 
3014    6.0       0.0       0.4 
3015    6.0       0.0       8.3 
3016    7.0       0.0      14.7 
3017    8.0       0.0       3.7 
3018    6.0       0.0      11.0 
3019    8.0       0.0       0.8 
3020    6.0       0.0       8.6 
3021    8.0       0.0      14.9 
3022    7.0       0.0       3.9 
3023    6.0       0.0      11.1 
3024    6.0       0.0       0.9 
3025    5.0       0.0       8.7 
3026    7.0       0.0      15.0 
3027    6.0       0.0       4.0 
3028    6.0       0.0      11.2 
3029    5.0       0.0       1.0 
3030    5.0       0.0       8.8 
3031    5.0       0.0      -1.0 
3032    5.0       0.0       7.2 
3033    5.0       0.0      -2.2 
3034    5.0       0.0       6.2 
3035    5.0       0.0      13.0 
3036    5.0       0.0       2.4 
3037    4.0       0.0       9.9 
3038    4.0       0.0      -0.1 
3039    4.0       0.0       7.9 
3040    3.0       0.0      -1.7 
3041    3.0       0.0       6.7 
3042    3.0       0.0      -2.7 
3043    3.0       0.0       5.9 
3044    4.0       0.0      -3.3 
3045    3.0       0.0       5.4 
3046    3.0       0.0      -3.7 
3047    1.0       0.0       5.0 
3048    2.0       0.0      -4.0 
3049    2.0       0.0       4.8 
3050    4.0       0.0      11.9 
3051    0.0       0.0       1.5 
3052    3.0       0.0       9.2 
3053    1.0       0.0      -0.6 
3054    3.0       0.0       7.5 
3055    3.0       0.0      -2.0 
3056    3.0       0.0       6.4 
3057    3.0       0.0      -2.9 
3058    2.0       0.0       5.7 
3059    4.0       0.0      -3.4 
3060    3.0       0.0       5.2 
3061    4.0       0.0      -3.8 
3062    4.0       0.0       5.0 
3063    2.0       0.0      -4.0 
3064    1.0       0.0       4.8 
3065    1.0       0.0      -4.2 
3066    1.0       0.0       4.7 
3067    0.0       0.0      -4.3 
3068   -2.0       0.0       4.6 
3069    0.0       0.0      -4.3 
3070    1.0       0.0       4.5 
3071   -1.0       0.0      -4.4 
3072   -1.0       0.0       4.5 
3073   -2.0       0.0      -4.4 
3074   -1.0       0.0       4.5 
3075   -1.0       0.0      -4.4 
3076   -2.0       0.0       4.5 
3077   -1.0       0.0      -4.4 
3078   -1.0       0.0       4.5 
3079   -1.0       0.0      -4.4 
3080    1.0       0.0       4.5 
3081    0.0       0.0      -4.4 
3082    2.0       0.0       4.5 
3083    3.0       0.0      -4.4 
3084    1.0       0.0       4.4 
3085    3.0       0.0      -4.4 
3086    4.0       0.0       4.4 
3087    2.0       0.0      -4.4 
3088    3.0       0.0       4.4 
3089    0.0       0.0      -4.4 
3090    4.0       0.0       4.4 
3091    2.0       0.0      -4.4 
3092    2.0       0.0       4.4 
3093    2.0       0.0      -4.4 
3094    2.0       0.0       4.4 
3095    1.0       0.0      -4.4 
3096    1.0       0.0       4.4 
3097    2.0       0.0      -4.4 
3098    1.0       0.0       4.4 
3099    3.0       0.0      -4.4 
3100    0.0       0.0       4.4 
3101    0.0       0.0      -4.4 
3102    1.0       0.0       4.4 
3103    0.0       0.0      -4.4 
3104    1.0       0.0       4.4 
3105    0.0       0.0      -4.4 
3106    0.0       0.0       4.4 
3107    0.0       0.0      -4.4 
3108    1.0       0.0       4.4 
3109    0.0       0.0      -4.4 
3110   -1.0       0.0       4.4 
3111   -5.0       0.0      -4.4 
3112   -5.0       0.0     -11.6 
3113   -7.0       0.0      -1.2 
3114   -5.0       0.0      -9.0 
3115   -2.0       0.0       0.8 
3116   -4.0       0.0      -7.4 
3117   -2.0       0.0       2.1 
3118   -2.0       0.0      -6.3 
3119   -5.0       0.0       3.0 
3120   -3.0       0.0      -5.6 
3121   -8.0       0.0     -12.5 
3122   -5.0       0.0      -2.0 
3123   -1.0       0.0       6.4 
3124   -5.0       0.0      -2.9 
3125    0.0       0.0       5.7 
3126   -5.0       0.0      -3.4 
3127   -1.0       0.0       5.2 
3128   -3.0       0.0      -3.8 
3129   -2.0       0.0       5.0 
3130   -1.0       0.0      -4.0 
3131   -1.0       0.0       4.8 
3132   -5.0       0.0      -4.2 
3133   -1.0       0.0       4.7 
3134   -6.0       0.0      -4.3 
3135   -3.0       0.0       4.6 
3136   -6.0       0.0      -4.3 
3137   -1.0       0.0       4.5 
3138   -7.0       0.0      -4.4 
3139   -5.0       0.0     -11.5 
3140   -9.0       0.0      -1.2 
3141   -8.0       0.0      -9.0 
3142   -7.0       0.0       0.8 
3143   -7.0       0.0      -7.3 
3144   -7.0       0.0     -13.9 
3145   -8.0       0.0      -3.1 
3146   -7.0       0.0     -10.5 
3147   -9.0       0.0     -16.4 
3148   -9.0       0.0      -5.1 
3149   -6.0       0.0     -12.1 
3150   -6.0       0.0      -1.7 
3151   -6.0       0.0      -9.3 
3152   -6.0       0.0       0.5 
3153   -5.0       0.0      -7.6 
3154   -6.0       0.0       1.9 
3155   -5.0       0.0      -6.4 
3156   -6.0       0.0     -13.2 
3157   -7.0       0.0      -2.5 
3158   -6.0       0.0     -10.0 
3159   -7.0       0.0      -0.0 
3160   -2.0       0.0      -8.0 
3161   -5.0       0.0       1.6 
3162   -6.0       0.0      -6.7 
3163   -6.0       0.0     -13.4 
3164   -2.0       0.0      -2.7 
3165   -6.0       0.0     -10.2 
3166   -3.0       0.0      -0.1 
3167   -3.0       0.0      -8.1 
3168   -5.0       0.0       1.5 
3169    0.0       0.0      -6.8 
3170   -2.0       0.0       2.6 
3171   -2.0       0.0      -5.9 
3172   -2.0       0.0       3.2 
3173    0.0       0.0      -5.4 
3174    1.0       0.0       3.7 
3175    0.0       0.0      -5.1 
3176   -1.0       0.0       4.0 
3177    0.0       0.0      -4.8 
3178    2.0       0.0       4.1 
3179    2.0       0.0      -4.7 
3180    0.0       0.0       4.2 
3181    0.0       0.0      -4.6 
3182   -1.0       0.0       4.3 
3183   -3.0       0.0      -4.5 
3184   -3.0       0.0       4.4 
3185   -5.0       0.0      -4.5 
3186   -3.0       0.0       4.4 
3187   -5.0       0.0      -4.5 
3188   -6.0       0.0     -11.6 
3189   -7.0       0.0      -1.3 
3190   -8.0       0.0      -9.0 
3191   -7.0       0.0       0.8 
3192   -8.0       0.0      -7.4 
3193   -7.0       0.0     -13.9 
3194   -7.0       0.0      -3.1 
3195   -6.0       0.0     -10.5 
3196   -5.0       0.0      -0.4 
3197   -6.0       0.0      -8.3 
3198   -5.0       0.0       1.3 
3199   -2.0       0.0      -6.9 
3200   -5.0       0.0       2.5 
3201   -2.0       0.0      -6.0 
3202   -5.0       0.0     -12.8 
3203   -1.0       0.0      -2.3 
3204   -5.0       0.0      -9.8 
3205    0.0       0.0       0.2 
3206   -4.0       0.0      -7.9 
3207   -1.0       0.0       1.7 
3208    1.0       0.0      -6.6 
3209    0.0       0.0       2.7 
3210    1.0       0.0      -5.9 
3211    1.0       0.0       3.3 
3212    1.0       0.0      -5.3 
3213    4.0       0.0       3.7 
3214    4.0       0.0      11.0 
3215    5.0       0.0       0.8 
3216    6.0       0.0       8.6 
3217    5.0       0.0      -1.1 
3218    5.0       0.0       7.1 
3219    5.0       0.0      -2.3 
3220    3.0       0.0       6.2 
3221    4.0       0.0      -3.1 
3222    5.0       0.0       5.5 
3223    4.0       0.0      -3.6 
3224    4.0       0.0       5.1 
3225    3.0       0.0      -3.9 
3226    2.0       0.0       4.9 
3227    1.0       0.0      -4.1 
3228    3.0       0.0       4.7 
3229    1.0       0.0      -4.2 
3230    3.0       0.0       4.6 
3231    3.0       0.0      -4.3 
3232    2.0       0.0       4.6 
3233    1.0       0.0      -4.4 
3234   -1.0       0.0       4.5 
3235    0.0       0.0      -4.4 
3236    0.0       0.0       4.5 
3237    0.0       0.0      -4.4 
3238   -1.0       0.0       4.5 
3239    1.0       0.0      -4.4 
3240   -1.0       0.0       4.5 
3241    1.0       0.0      -4.4 
3242    0.0       0.0       4.5 
3243    1.0       0.0      -4.4 
3244    1.0       0.0       4.5 
3245    1.0       0.0      -4.4 
3246    1.0       0.0       4.4 
3247    0.0       0.0      -4.4 
3248    1.0       0.0       4.4 
3249    0.0       0.0      -4.4 
3250   -1.0       0.0       4.4 
3251    0.0       0.0      -4.4 
3252    0.0       0.0       4.4 
3253    1.0       0.0      -4.4 
3254    1.0       0.0       4.4 
3255    0.0       0.0      -4.4 
3256    0.0       0.0       4.4 
3257    1.0       0.0      -4.4 
3258    0.0       0.0       4.4 
3259    0.0       0.0      -4.4 
3260   -2.0       0.0       4.4 
3261    0.0       0.0      -4.4 
3262    0.0       0.0       4.4 
3263    1.0       0.0      -4.4 
3264    1.0       0.0       4.4 
3265    0.0       0.0      -4.4 
3266    2.0       0.0       4.4 
3267    2.0       0.0      -4.4 
3268    1.0       0.0       4.4 
3269    2.0       0.0      -4.4 
3270    1.0       0.0       4.4 
3271    2.0       0.0      -4.4 
3272    2.0       0.0       4.4 
3273    1.0       0.0      -4.4 
3274    4.0       0.0       4.4 
3275    3.0       0.0      -4.4 
3276    2.0       0.0       4.4 
3277    0.0       0.0      -4.4 
3278    3.0       0.0       4.4 
3279    2.0       0.0      -4.4 
3280    4.0       0.0       4.4 
3281    4.0       0.0      11.6 
3282    3.0       0.0       1.2 
3283    5.0       0.0       9.0 
3284    5.0       0.0      -0.8 
3285    1.0       0.0       7.4 
3286    3.0       0.0      -2.1 
3287    1.0       0.0       6.3 
3288    2.0       0.0      -3.0 
3289    1.0       0.0       5.6 
3290    0.0       0.0      -3.5 
3291   -1.0       0.0       5.2 
3292   -1.0       0.0      -3.8 
3293   -1.0       0.0       4.9 
3294   -3.0       0.0      -4.1 
3295   -1.0       0.0       4.8 
3296   -5.0       0.0      -4.2 
3297   -5.0       0.0     -11.4 
3298   -6.0       0.0      -1.1 
3299   -6.0       0.0      -8.9 
3300   -5.0       0.0       0.9 
3301   -6.0       0.0      -7.3 
3302   -5.0       0.0       2.2 
3303   -7.0       0.0      -6.3 
3304   -3.0       0.0       3.0 
3305   -5.0       0.0      -5.6 
3306   -2.0       0.0       3.5 
3307   -5.0       0.0      -5.2 
3308    0.0       0.0       3.9 
3309   -5.0       0.0      -4.9 
3310    1.0       0.0       4.1 
3311    0.0       0.0      -4.7 
3312    1.0       0.0       4.2 
3313    2.0       0.0      -4.6 
3314    2.0       0.0       4.3 
3315    5.0       0.0      11.4 
3316    4.0       0.0       1.1 
3317    4.0       0.0       8.9 
3318    6.0       0.0      -0.9 
3319    5.0       0.0       7.3 
3320    5.0       0.0      -2.2 
3321    5.0       0.0       6.3 
3322    4.0       0.0      -3.0 
3323    5.0       0.0       5.6 
3324    3.0       0.0      -3.5 
3325    4.0       0.0       5.2 
3326    2.0       0.0      -3.8 
3327    3.0       0.0       4.9 
3328    3.0       0.0      -4.1 
3329    2.0       0.0       4.8 
3330    4.0       0.0      11.8 
3331    2.0       0.0       1.4 
3332    2.0       0.0       9.2 
3333    3.0       0.0      -0.7 
3334    3.0       0.0       7.5 
3335    2.0       0.0      -2.0 
3336    3.0       0.0       6.4 
3337    5.0       0.0      -2.9 
3338    2.0       0.0       5.7 
3339    3.0       0.0      -3.5 
3340    4.0       0.0       5.2 
3341    3.0       0.0      -3.8 
3342    3.0       0.0       5.0 
3343    4.0       0.0      12.0 
3344    5.0       0.0       1.6 
3345    4.0       0.0       9.3 
3346    5.0       0.0      -0.6 
3347    7.0       0.0       7.5 
3348    7.0       0.0      14.0 
3349    8.0       0.0       3.2 
3350    7.0       0.0      10.6 
3351    7.0       0.0       0.5 
3352   10.0       0.0       8.4 
3353    9.0       0.0      14.7 
3354   11.0       0.0       3.8 
3355   11.0       0.0      11.0 
3356   10.0       0.0      16.8 
3357   12.0       0.0       5.4 
3358   12.0       0.0      12.4 
3359   13.0       0.0      17.9 
3360   12.0       0.0       6.3 
3361   13.0       0.0      13.0 
3362   11.0       0.0      18.4 
3363   12.0       0.0       6.7 
3364   13.0       0.0      13.4 
3365   11.0       0.0      18.7 
3366   13.0       0.0       7.0 
3367   10.0       0.0      13.6 
3368   12.0       0.0      18.9 
3369   10.0       0.0       7.1 
3370   10.0       0.0      13.7 
3371    9.0       0.0       2.9 
3372    8.0       0.0      10.4 
3373    8.0       0.0       0.3 
3374    7.0       0.0       8.2 
3375    9.0       0.0      14.6 
3376    7.0       0.0       3.7 
3377    7.0       0.0      10.9 
3378    5.0       0.0       0.7 
3379    6.0       0.0       8.6 
3380    5.0       0.0      -1.1 
3381    5.0       0.0       7.1 
3382    5.0       0.0      -2.3 
3383    6.0       0.0       6.1 
3384    6.0       0.0      12.9 
3385    6.0       0.0       2.3 
3386    9.0       0.0       9.9 
3387    8.0       0.0      15.9 
3388    9.0       0.0       4.7 
3389    8.0       0.0      11.8 
3390    6.0       0.0       1.4 
3391    8.0       0.0       9.1 
3392    5.0       0.0      -0.7 
3393    7.0       0.0       7.4 
3394    6.0       0.0      14.0 
3395    6.0       0.0       3.2 
3396    7.0       0.0      10.5 
3397    5.0       0.0       0.4 
3398    5.0       0.0       8.3 
3399    4.0       0.0      -1.3 
3400    5.0       0.0       6.9 
3401    5.0       0.0      -2.4 
3402    5.0       0.0       6.0 
3403    6.0       0.0      12.8 
3404    8.0       0.0       2.3 
3405    6.0       0.0       9.8 
3406    7.0       0.0      -0.1 
3407    7.0       0.0       7.9 
3408    7.0       0.0      14.3 
3409    7.0       0.0       3.4 
3410    8.0       0.0      10.8 
3411    7.0       0.0       0.6 
3412    9.0       0.0       8.5 
3413    5.0       0.0      -1.2 
3414    7.0       0.0       7.0 
3415    7.0       0.0      13.6 
3416    6.0       0.0       2.9 
3417    6.0       0.0      10.3 
3418    6.0       0.0       0.3 
3419    5.0       0.0       8.2 
3420    5.0       0.0      -1.4 
3421    4.0       0.0       6.9 
3422    4.0       0.0      -2.5 
3423    4.0       0.0       6.0 
3424    2.0       0.0      -3.2 
3425    0.0       0.0       5.4 
3426    0.0       0.0      -3.7 
3427   -1.0       0.0       5.1 
3428   -2.0       0.0      -3.9 
3429    0.0       0.0       4.8 
3430   -1.0       0.0      -4.1 
3431   -1.0       0.0       4.7 
3432   -2.0       0.0      -4.2 
3433   -2.0       0.0       4.6 
3434   -5.0       0.0      -4.3 
3435   -2.0       0.0       4.6 
3436   -6.0       0.0      -4.4 
3437   -5.0       0.0     -11.5 
3438   -5.0       0.0      -1.2 
3439   -6.0       0.0      -9.0 
3440   -7.0       0.0       0.8 
3441   -7.0       0.0      -7.3 
3442   -7.0       0.0     -13.9 
3443   -9.0       0.0      -3.1 
3444   -8.0       0.0     -10.5 
3445   -8.0       0.0      -0.4 
3446   -7.0       0.0      -8.3 
3447  -11.0       0.0     -14.6 
3448  -12.0       0.0     -19.7 
3449  -11.0       0.0      -7.8 
3450  -11.0       0.0     -14.2 
3451  -11.0       0.0      -3.4 
3452  -10.0       0.0     -10.7 
3453  -10.0       0.0     -16.6 
3454  -10.0       0.0      -5.2 
3455  -10.0       0.0     -12.2 
3456   -8.0       0.0      -1.8 
3457   -8.0       0.0      -9.4 
3458   -9.0       0.0     -15.5 
3459   -7.0       0.0      -4.4 
3460   -7.0       0.0     -11.5 
3461   -7.0       0.0      -1.2 
3462   -7.0       0.0      -9.0 
3463   -6.0       0.0       0.8 
3464   -5.0       0.0      -7.3 
3465   -5.0       0.0       2.1 
3466   -7.0       0.0      -6.3 
3467   -6.0       0.0     -13.0 
3468   -5.0       0.0      -2.4 
3469   -6.0       0.0      -9.9 
3470   -7.0       0.0       0.0 
3471   -8.0       0.0      -8.0 
3472   -8.0       0.0     -14.4 
3473   -7.0       0.0      -3.5 
3474   -8.0       0.0     -10.8 
3475   -7.0       0.0      -0.6 
3476   -6.0       0.0      -8.5 
3477   -6.0       0.0       1.2 
3478   -7.0       0.0      -7.0 
3479   -8.0       0.0     -13.6 
3480   -6.0       0.0      -2.9 
3481   -7.0       0.0     -10.3 
3482   -5.0       0.0      -0.3 
3483   -7.0       0.0      -8.2 
3484   -6.0       0.0       1.4 
3485   -8.0       0.0      -6.9 
3486   -7.0       0.0     -13.5 
3487   -7.0       0.0      -2.8 
3488   -3.0       0.0     -10.2 
3489   -5.0       0.0      -0.2 
3490   -2.0       0.0      -8.1 
3491   -5.0       0.0       1.5 
3492   -1.0       0.0      -6.8 
3493   -5.0       0.0       2.5 
3494   -1.0       0.0      -6.0 
3495   -5.0       0.0     -12.8 
3496   -1.0       0.0      -2.2 
3497   -3.0       0.0      -9.8 
3498    0.0       0.0       0.2 
3499    0.0       0.0      -7.9 
3500    0.0       0.0       1.7 
3501   -1.0       0.0      -6.6 
3502   -1.0       0.0       2.7 
3503    0.0       0.0      -5.8 
3504    0.0       0.0       3.3 
3505    0.0       0.0      -5.3 
3506    2.0       0.0       3.7 
3507    3.0       0.0      11.0 
3508    4.0       0.0       0.8 
3509    4.0       0.0       8.6 
3510    4.0       0.0      -1.1 
3511    4.0       0.0       7.1 
3512    5.0       0.0      -2.3 
3513    5.0       0.0       6.2 
3514    5.0       0.0      12.9 
3515    3.0       0.0       2.3 
3516    5.0       0.0       9.9 
3517    6.0       0.0      -0.1 
3518    5.0       0.0       7.9 
3519    4.0       0.0      -1.7 
3520    2.0       0.0       6.7 
3521    3.0       0.0      -2.7 
3522    3.0       0.0       5.9 
3523    2.0       0.0      -3.3 
3524    2.0       0.0       5.4 
3525    1.0       0.0      -3.7 
3526    4.0       0.0       5.0 
3527    4.0       0.0      -4.0 
3528    6.0       0.0       4.8 
3529    5.0       0.0      11.9 
3530    4.0       0.0       1.5 
3531    4.0       0.0       9.2 
3532    6.0       0.0      -0.7 
3533    5.0       0.0       7.5 
3534    7.0       0.0      14.0 
3535    9.0       0.0       3.2 
3536    7.0       0.0      10.5 
3537    9.0       0.0      16.4 
3538    9.0       0.0       5.2 
3539    9.0       0.0      12.1 
3540    8.0       0.0       1.7 
3541   10.0       0.0       9.4 
3542   10.0       0.0      15.5 
3543   14.0       0.0      20.4 
3544   13.0       0.0       8.3 
3545   13.0       0.0      14.6 
3546   14.0       0.0      19.7 
3547   13.0       0.0       7.8 
3548   15.0       0.0      14.2 
3549   16.0       0.0      19.4 
3550   18.0       0.0      23.5 
3551   17.0       0.0      10.8 
3552   15.0       0.0      16.6 
3553   14.0       0.0      21.3 
3554   13.0       0.0       9.0 
3555   13.0       0.0      15.2 
3556   14.0       0.0      20.2 
3557   14.0       0.0       8.2 
3558   13.0       0.0      14.5 
3559   11.0       0.0       3.6 
3560   12.0       0.0      10.9 
3561   12.0       0.0      16.7 
3562   11.0       0.0       5.4 
3563   11.0       0.0      12.3 
3564   10.0       0.0      17.8 
3565    9.0       0.0       6.3 
3566    9.0       0.0      13.0 
3567    7.0       0.0       2.4 
3568    7.0       0.0       9.9 
3569    8.0       0.0      15.9 
3570    5.0       0.0       4.8 
3571    4.0       0.0      11.8 
3572    3.0       0.0       1.4 
3573    3.0       0.0       9.2 
3574    2.0       0.0      -0.7 
3575    0.0       0.0       7.5 
3576   -1.0       0.0      -2.0 
3577   -1.0       0.0       6.4 
3578   -2.0       0.0      -2.9 
3579   -5.0       0.0     -10.3 
3580   -7.0       0.0      -0.3 
3581   -8.0       0.0      -8.2 
3582   -9.0       0.0     -14.6 
3583  -11.0       0.0      -3.7 
3584  -10.0       0.0     -10.9 
3585  -12.0       0.0     -16.7 
3586  -12.0       0.0      -5.4 
3587  -11.0       0.0     -12.3 
3588  -11.0       0.0     -17.8 
3589  -13.0       0.0      -6.3 
3590  -12.0       0.0     -13.0 
3591  -15.0       0.0     -18.4 
3592  -13.0       0.0      -6.7 
3593  -13.0       0.0     -13.4 
3594  -15.0       0.0     -18.7 
3595  -12.0       0.0      -7.0 
3596  -12.0       0.0     -13.6 
3597  -14.0       0.0     -18.9 
3598  -12.0       0.0      -7.1 
3599  -13.0       0.0     -13.7 
3600  -12.0       0.0     -18.9 
3601  -13.0       0.0      -7.1 
3602  -13.0       0.0     -13.7 
3603  -14.0       0.0     -19.0 
3604  -10.0       0.0      -7.2 
3605   -8.0       0.0     -13.7 
3606  -13.0       0.0     -19.0 
3607  -12.0       0.0      -7.2 
3608  -12.0       0.0     -13.8 
3609  -13.0       0.0     -19.0 
3610  -13.0       0.0      -7.2 
3611  -12.0       0.0     -13.8 
3612  -11.0       0.0      -3.0 
3613  -12.0       0.0     -10.4 
3614  -12.0       0.0     -16.3 
3615  -10.0       0.0      -5.1 
3616  -12.0       0.0     -12.0 
3617  -14.0       0.0     -17.6 
3618  -14.0       0.0      -6.1 
3619  -12.0       0.0     -12.9 
3620  -14.0       0.0     -18.3 
3621  -14.0       0.0      -6.6 
3622  -14.0       0.0     -13.3 
3623  -14.0       0.0     -18.7 
3624  -12.0       0.0      -6.9 
3625  -14.0       0.0     -13.5 
3626  -14.0       0.0     -18.8 
3627  -14.0       0.0      -7.1 
3628  -14.0       0.0     -13.7 
3629  -13.0       0.0     -18.9 
3630  -13.0       0.0      -7.1 
3631  -13.0       0.0     -13.7 
3632  -12.0       0.0     -19.0 
3633  -13.0       0.0      -7.2 
3634  -11.0       0.0     -13.7 
3635  -12.0       0.0     -19.0 
3636  -11.0       0.0      -7.2 
3637  -11.0       0.0     -13.8 
3638  -10.0       0.0      -3.0 
3639  -10.0       0.0     -10.4 
3640   -8.0       0.0      -0.3 
3641  -10.0       0.0      -8.3 
3642  -10.0       0.0     -14.6 
3643  -10.0       0.0      -3.7 
3644   -8.0       0.0     -10.9 
3645   -8.0       0.0      -0.8 
3646   -8.0       0.0      -8.6 
3647   -7.0       0.0     -14.9 
3648   -6.0       0.0      -3.9 
3649   -6.0       0.0     -11.1 
3650   -5.0       0.0      -0.9 
3651   -2.0       0.0      -8.7 
3652   -2.0       0.0       1.0 
3653   -2.0       0.0      -7.2 
3654    1.0       0.0       2.3 
3655    1.0       0.0      -6.2 
3656    1.0       0.0       3.0 
3657    2.0       0.0      -5.6 
3658    6.0       0.0       3.5 
3659    5.0       0.0      10.8 
3660    5.0       0.0       0.7 
3661    4.0       0.0       8.5 
3662    4.0       0.0      -1.2 
3663    8.0       0.0       7.1 
3664    6.0       0.0      13.7 
3665    8.0       0.0       2.9 
3666    9.0       0.0      10.3 
3667    9.0       0.0      16.3 
3668    9.0       0.0       5.0 
3669   10.0       0.0      12.0 
3670   10.0       0.0      17.6 
3671    9.0       0.0       6.1 
3672    9.0       0.0      12.9 
3673   12.0       0.0      18.3 
3674    9.0       0.0       6.6 
3675   12.0       0.0      13.3 
3676   12.0       0.0      18.6 
3677   13.0       0.0       6.9 
3678   11.0       0.0      13.5 
3679   16.0       0.0      18.8 
3680   15.0       0.0       7.1 
3681   16.0       0.0      13.6 
3682   16.0       0.0      18.9 
3683   16.0       0.0      23.1 
3684   19.0       0.0      26.5 
3685   18.0       0.0      13.2 
3686   19.0       0.0      18.6 
3687   19.0       0.0      22.9 
3688   20.0       0.0      26.3 
3689   20.0       0.0      13.0 
